stt,mssv,ho ten,diem TK,diem CK,diem GK,diem khac
1,22110001,Luong Thanh Nam,,,,
2,22110002,Truong Binh Ba,,,,
3,22110003,Nguyen Thi Xuan Huong,,,,
4,22110004,Phan Thi Ngoc Linh,,,,
5,22110005,Tran Anh Quoc,,,,
6,22110006,Duong Thi Tham,,,,
7,22110007,Tu Thuc,,,,
8,22110008,Le Tuan Minh Thanh,,,,
9,22110009,Cao Thi Hau,,,,
10,22110010,Cao Thi Phuc,,,,
11,22110011,Nguyen Ngoc Hien,,,,
12,22110012,Nguyen Pham Anh Tri,,,,
13,22110013,Le Tan,,,,
14,22110014,Nguyen Thi Minh Tam,,,,
15,22110015,Hoang Phan Tuan Anh,,,,
16,22110016,Tran Le Duy,,,,
17,22110017,Nguyen Truong Hung,,,,
18,22110018,Nguyen Van Bao,,,,
19,22110019,Nguyen Quoc Bao,,,,
20,22110020,Dinh Bao Chau Thi,,,,
,, ,,,,
